reviews,clusters,tags
👍👍,,positive
Cake pops and a Red-eye😋staff was very friendly and helpful,Food,positive
Cake pops and a Red-eye😋staff was very friendly and helpful,Service,positive
"Great staff, lines move fast, wonderful coffee!",Service,positive
"Great staff, lines move fast, wonderful coffee!",Coffee,positive
It's a Starbucks,Place,neutral
Starbucks has the best Coffees and their Frappuccinos are to die for too!,Coffee,positive
Yummy,Coffee,positive
Nice and quiet place to get things done,Place,positive
Limited menu,Food,negative
The Star Bucks must be great as they are lined up passed the flower shoppe.,Place,positive
Quick service,Service,positive
"It’s really rude customer service, Drago, he gave me really bad customer service",Service,negative
This coffee shop is slow and is always out of items.,Time,negative
This coffee shop is slow and is always out of items.,Coffee,negative
"Nice store, nice location and a nice staff.",Place,positive
"Nice store, nice location and a nice staff.",Service,positive
Tastes burnt,Coffee,negative
Fantastic!!!!,Service,positive
Always get what I need fast!,Time,positive
"No pumpkin muffins, pumpkin scones, pumpkin bread.  No more oatmeal cookies. Employee was pleasant.",Food,negative
"No pumpkin muffins, pumpkin scones, pumpkin bread.  No more oatmeal cookies. Employee was pleasant.",Service,positive
"Efficiency, staff very pleasant.",Service,positive
Really enjoy these Starbucks outlets in the supermarkets. This one friendly and very accessible.,Place,positive
Really enjoy these Starbucks outlets in the supermarkets. This one friendly and very accessible.,Service,positive
Good,,positive
"Fast efficient, courteous, and accurate. Just what I expect from a Starbucks",Service,positive
Good wifi,Place,positive
"(Translated by Google) Always the best option for a coffee in usa

(Original)
Siempre la mejor opción para un café en usa",Coffee,positive
"Friendly employees and quality drinks. You never know what you're going to get at a Starbucks, but they are pretty consistent here.",Service,positive
"Friendly employees and quality drinks. You never know what you're going to get at a Starbucks, but they are pretty consistent here.",Coffee,positive
Slow and sloppy   They didn’t even give me the correct order.,Service,negative
Slow and sloppy   They didn’t even give me the correct order.,Time,negative
SLOW,Time,negative
Great staff.  Always quick.,Service,positive
"made a mobile order and had to go inside because the drive thru was down, only employee there didn’t even notice my order so i waited around for something to be done while others came in for the same reason, same result. so much for convenience!!!!!",Time,negative
"made a mobile order and had to go inside because the drive thru was down, only employee there didn’t even notice my order so i waited around for something to be done while others came in for the same reason, same result. so much for convenience!!!!!",Service,negative
Great coffee and friendly service,Coffee,positive
Great coffee and friendly service,Service,positive
Frost hot coffee. Kids love the frozen drinks!  You must try the caramel macchiato.,Coffee,positive
Frost hot coffee. Kids love the frozen drinks!  You must try the caramel macchiato.,Coffee,positive
Great  coffee and teas,Coffee,positive
Great customer service so awesome as always,Service,positive
Good service,Service,positive
My favorite place to get an iced coffee! I'm there daily 😂,Coffee,positive
"Used to be a fun place with friendly baristas who knew your drink when you came in and joked with and cared about customers. Lately there seems to be a big turnover and the staff seems stressed and uptight and tell you that you can ""feel free to complain to the manager, the business cards are on the counter!"" when you try to make a joke. Very different from past years - the sensitivity training apparently didn't improve the general atmosphere.",Service,negative
Love me some Starbucks. Wish they weren't so pricey. 12$ for two drinks!,Time,neutral
Always good coffee and friendly service,Coffee,positive
Always good coffee and friendly service,Service,positive
Very unhappy Starbucks no longer has equal or sweet n low sugar.  As a coffee shop I can't believe they only now offer splenda or stevia!,Coffee,negative
Good strong coffee,Coffee,positive
Glad they are open although I limited. They are the Cheers for 2020.,Place,positive
"Nice employees, clean inside. A great Starbucks. It's worth going out of your way to come to this one tbh",Service,positive
"Nice employees, clean inside. A great Starbucks. It's worth going out of your way to come to this one tbh",Place,positive
Great Service. Baristas worked hard and fast in 27 degree weather.,Service,positive
Sometimes they have good drinks...not all the time !,Coffee,neutral
Always friendly bit never spell my name right!  Its Chris not Kris!,Service,neutral
Quick & efficient. Super yummy,Service,positive
Quick & efficient. Super yummy,Food,positive
Starbucks is just amazing love it so much,Coffee,positive
Great location fast service,Place,positive
Great location fast service,Service,positive
Don't care for the bitter coffee,Coffee,negative
Great location and easy in and out.. service so much better then the one on pine,Place,positive
Great location and easy in and out.. service so much better then the one on pine,Service,positive
Yummy,Food,positive
Love it when I'm told by a barista that I can't carry a firearm while ordering (company policy)  and the grocery store manager of the Smith's Groceries it's located inside of sets them straight. Thank you Smith's for caring about your customer's Constitutional Rights.,Place,positive
"*** LOVE THIS LOCATION *** Newer Menu Screens- Every One Is Chipper & Just All Around Great Service- Coffee Is ALWAYS Correct, Delicious & Piping HOT ~",Place,positive
"*** LOVE THIS LOCATION *** Newer Menu Screens- Every One Is Chipper & Just All Around Great Service- Coffee Is ALWAYS Correct, Delicious & Piping HOT ~",Service,positive
"*** LOVE THIS LOCATION *** Newer Menu Screens- Every One Is Chipper & Just All Around Great Service- Coffee Is ALWAYS Correct, Delicious & Piping HOT ~",Coffee,positive
Fast service and good coffee.,Service,positive
Fast service and good coffee.,Coffee,positive
Love the coffee and staff is very friendly,Coffee,positive
Love the coffee and staff is very friendly,Service,positive
Excellent.  No wait time.,Time,positive
Plan on waiting for at least 15 minutes to a half hour for your drink. I was just in and they were giving everyone in the drive threw free drinks because they were waiting that long..but they never offered anyone inside free drinks even though they were waiting just as long.,Time,negative
It was the greatest!,Service,positive
Good coffee,Coffee,positive
vcu is sleeping on this starbucks. always short lines and great service,Place,positive
vcu is sleeping on this starbucks. always short lines and great service,Service,positive
"Very friendly, delicious tea. They made me the wrong tea but I didn't have time for a remake. Ordered black tea but he wrote white tea.",Service,positive
"Very friendly, delicious tea. They made me the wrong tea but I didn't have time for a remake. Ordered black tea but he wrote white tea.",Coffee,neutral
"Had the pumpkin cream cold brew, lovedddd itttttt!!! I was afraid I would never get a seat, but just a few minutes in and two opened up! There is a lot of ppl walking in and out so if you want a super quiet environment, this is not for you to study in. For me, it was fine. The seating is limited though so be prepared to wait on certain days? I was there on a Wednesday around 4:30pm.",Coffee,positive
"Had the pumpkin cream cold brew, lovedddd itttttt!!! I was afraid I would never get a seat, but just a few minutes in and two opened up! There is a lot of ppl walking in and out so if you want a super quiet environment, this is not for you to study in. For me, it was fine. The seating is limited though so be prepared to wait on certain days? I was there on a Wednesday around 4:30pm.",Place,neutral
My daughter likes the kids frappuccino,Food,positive
"Ordered a cup of coffee, and a scone. Provided my name at the time the order was placed, the barista attempted to give my scone to somebody else, and my coffee took almost 20 minutes to make. This seems to be the standard experience that I have at Starbucks.",Service,negative
"Ordered a cup of coffee, and a scone. Provided my name at the time the order was placed, the barista attempted to give my scone to somebody else, and my coffee took almost 20 minutes to make. This seems to be the standard experience that I have at Starbucks.",Coffee,negative
"Ordered a cup of coffee, and a scone. Provided my name at the time the order was placed, the barista attempted to give my scone to somebody else, and my coffee took almost 20 minutes to make. This seems to be the standard experience that I have at Starbucks.",Time,negative
Nice location with a good people,Place,positive
Great place to relaxed and enjoy your favorite Hot or Cold Brew.,Place,positive
"Their service is top notch! It's kind of pricey, but still worth a visit every so often!",Service,positive
"Their service is top notch! It's kind of pricey, but still worth a visit every so often!",Place,neutral
"Quality service. Elecia took our order through the drive through and she was so pleasant. We love this location because the staff is always so upbeat even if it's in the middle of rush hour. They have never messed up our orders and our drinks and food have always been delicious. If I could give more stars, I would.",Service,positive
Service isn't great. It's ok. some baristas are rude at this location.,Service,negative
Your typical starbucks nothing special.,Place,neutral
Friendly good pastries an beverage.,Service,positive
Friendly good pastries an beverage.,Food,positive
Friendly good pastries an beverage.,Coffee,positive
Great workers amazing service!!!😁😁😁,Service,positive
Loved it !,,positive
Very Good FOOD and Service,Food,positive
Very Good FOOD and Service,Service,positive
No one in line ahead of me . Two workers behind the counter. Stood at the cash register to place my order and 10 mins later I still had not been helped or even acknowledged. Walked away.,Service,negative
It's Starbucks,Coffee,neutral
Quick service!,Service,positive
Fancy new building and a lot of Covid protections in place!,Place,positive
"It's just a Starbucks. But considering it's just a small one in a big crowded parking lot, I was pleasantly surprised that it has a nice outdoor sitting area.",Place,positive
Crowded parking lot covid restriction no seating indoors,Place,negative
Crowded parking lot covid restriction no seating indoors,Place,negative
Crowded parking lot covid restriction no seating indoors,Place,negative
Quick helpful decent price,Service,positive
Quick helpful decent price,Time,positive
Typical Starbucks. Decent amount spots to work in available.,Place,neutral
Excellent customer service by J.P today. I got the perfect cup for my friend.,Service,positive
"Always amazing customer service, drinks and food made right (and delicious).",Service,positive
"Always amazing customer service, drinks and food made right (and delicious).",Coffee,positive
"Always amazing customer service, drinks and food made right (and delicious).",Food,positive
👍👍👍👍,,positive
Brilliant service as always . Drive through line was long ( 9 cars) but I didn't wait long at all. My drink was just how I ordered it and the service was friendly .,Service,positive
Brilliant service as always . Drive through line was long ( 9 cars) but I didn't wait long at all. My drink was just how I ordered it and the service was friendly .,Time,positive
Love Starbucks. Their coffees and Teas are like none other.,Coffee,positive
Nice staff and atmosphere.  Little pricey as always. Couldn't find a lot of the menu items.,Service,positive
Nice staff and atmosphere.  Little pricey as always. Couldn't find a lot of the menu items.,Place,positive
Nice staff and atmosphere.  Little pricey as always. Couldn't find a lot of the menu items.,Food,negative
The drive thru lane is always pretty long but moves very fast with their quick service.,Service,positive
Good coffee,Coffee,positive
"Ordered my wife’s favorite drink and a frap for myself.  Great service, quick and hot!",Service,positive
"Ordered my wife’s favorite drink and a frap for myself.  Great service, quick and hot!",Coffee,positive
The people here are amazing.   My wife just had foot surgery and had problems navigating with crutches.   The people working at Starbucks were super helpful.,Service,positive
Usual Starbucks with better than average service,Service,positive
Love using the app and just pulling up to get a nice hot cup. Even when the line is long the wait isn't.,Time,positive
Love using the app and just pulling up to get a nice hot cup. Even when the line is long the wait isn't.,Coffee,positive
"It is indeed a typical Starbucks, better than some, but once in awhile the barista hands me something disappointing, like today when I'll be remembering my burnt tongue for awhile.  Is it really that hard to stop heating the milk after it hits 140, 150, or 160 degrees?

Update: They seem to have updated their staff, and - quicker service with a perfect latte.",Coffee,negative
"It is indeed a typical Starbucks, better than some, but once in awhile the barista hands me something disappointing, like today when I'll be remembering my burnt tongue for awhile.  Is it really that hard to stop heating the milk after it hits 140, 150, or 160 degrees?

Update: They seem to have updated their staff, and - quicker service with a perfect latte.",Coffee,positive
My favorite coffee is a good place to stop easy on easy off the freeway,Place,positive
Good Customer Service!,Service,positive
Love the mocha frapps!,Coffee,positive
I'm never disappointed,Coffee,positive
Drive through!!!!!,Time,positive
I love this place,Place,positive
Awesome  Espressos,Coffee,positive
Starbuck sucks never going to starbuck again,Coffee,negative
Usually packed in the morning...but fast service.,Time,positive
Been here many times. one of my favorite locations. the line gets pretty long. but I still get through fast.,Place,positive
Been here many times. one of my favorite locations. the line gets pretty long. but I still get through fast.,Time,positive
No politics with coffee please.,Service,negative
Good food and service. 😁👍,Food,positive
Good food and service. 😁👍,Service,positive
"My experience about most Starbucks
locations is that the coffee is way overpriced. I have been a Gold card
member since 2009. I supported the part time workers and was pleased to
know that they received benefits for part time employment. However my criticism is more about the company
and its former CEO who implied that the current presidential administration
is racists. Therefore I do not patronize
Starbucks anymore because of their
false political views. I am sacrificing a
gold card.  Nothing personal against its staff which generally are hard working Americans. I realize the company has its lberal views and ridiculous bias trainning. However their seems to be much bias for our President.There are plenty of other
Mom and Pop coffee establishments
available which I  am happy to support.",Coffee,negative
"My experience about most Starbucks
locations is that the coffee is way overpriced. I have been a Gold card
member since 2009. I supported the part time workers and was pleased to
know that they received benefits for part time employment. However my criticism is more about the company
and its former CEO who implied that the current presidential administration
is racists. Therefore I do not patronize
Starbucks anymore because of their
false political views. I am sacrificing a
gold card.  Nothing personal against its staff which generally are hard working Americans. I realize the company has its lberal views and ridiculous bias trainning. However their seems to be much bias for our President.There are plenty of other
Mom and Pop coffee establishments
available which I  am happy to support.",Service,positive
Meets the standards of your regular Starbucks. Design of the store is way prettier and organized then the previous Starbucks. Staff interaction has also improved and are way more friendly. Great improvement since my 2 star comment.,Place,positive
Meets the standards of your regular Starbucks. Design of the store is way prettier and organized then the previous Starbucks. Staff interaction has also improved and are way more friendly. Great improvement since my 2 star comment.,Service,positive
Limited parking,Place,negative
Great store in the coffee and service is great,Coffee,positive
Great store in the coffee and service is great,Service,positive
"I frequent this Starbucks. It's busier than a lot of other locations I've been to, but it's a nice place to meet up with people. I've never had an issue with any of my drinks or anything.",Place,positive
